incidnet_id ,status,service,title,improvement_possible,recognition_type,incident_grade,propagation_grade,occurred_at,ended_at,root_cause_L1,root_cause_L2,action_summary,cause_type_L1,cause_type_L2,cause_type_L3
INM24010328711,종료,KOS-오더,KOS-오더 배치 서버(batap02) 인스턴스(ordbatDom01Svr22) CPU 사용량 증가 및 커넥션풀 반환 에러 발생,,,,이상징후,2003-01-24 05:20:00,2003-01-24 05:33:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
 - 05:16 flow 실패로 인한 상황창 개설
 - 05:17 batap02 운영자 서버 접속 완료
 - 05:18 가용 JVM 메모리 부족 현상 아님을 확인, pool 부족으로 인한 일부 배치건 실패 확인
 - 05:19 예정 배치스케줄 영향 방지를 위한 리소스 클리어차원 재기동 결정
 - 05:20 해당 인스턴스(ordbatDom01Svr22) 재기동 시작
 - 05:33 해당 인스턴스(ordbatDom01Svr22) 재기동 완료
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수
PO 재기동 후 pool max현상 해소, 배치 수행 정상 확인",Infra,미들웨어,WAS
INM24010328712,종료,씨큐브,"pcmsbdb01,02에서 PMON Process Check_pgtmo 외 다수 이벤트 발생",,,,이상징후,2003-01-24 05:45:00,2003-01-24 06:18:00,Infra원인,Infra S/W결함,"O [01/03 05:45] 씨큐브 서비스 pcmsbdb01,02에서 PMON Process Check_pgtmo 외 다수 이벤트 발생 조치내역 :
- 05:45 pcmsbdb01,02에서 PMON Process Check_pgtmo 외 다수 이벤트 발생
- 05:49 컨콜 참여 후 서버 접속 확인
- 05:52 이상징후 발생 공지 발송
- 06:12 AO 부서 실 사용자 없음을 확인
- 06:15 DB 재기동 요청
- 06:18 DB 재기동 조치 완료
- 06:20 AO 서비스 확인 특이사항 없음
- 06:27 이상징후 해소 공지 발송",Infra,미들웨어,DB서버
INM24010328714,종료,OSS-OM,OSS-OM-개통관리 파로스 인스턴스(cuiSvr15) 지연 현상 발생,,,,이상징후,2003-01-24 10:23:00,2003-01-24 10:23:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
01/03 10:21 pcuiap01 CPU 이상징후 발생
01/03 10:21 cuiSvr15 인스턴스 CPU 과점유 현상 확인
01/03 10:23 cuiSvr15 중지 완료 및 인프라 점검 정상 확인
01/03 10:23 이상징후 발생/해소 공지",Infra,미들웨어,WAS
INM24010328715,종료,KT멤버십VAN대행,KT멤버십VAN DB서버(c-ktvan-pk1-d02) CPU 부하 이벤트 발생,,,,이상징후,2003-01-24 10:07:00,2003-01-24 10:30:00,Infra환경,외부 전력 장애,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
  10:07 CPU 100% 관제 이벤트 발생 상황창 개설
  10:08 DB팀 롱쿼리 확인하여 kill 진행
  10:10 롱쿼리 kill후에도 CPU 사용율 떨어지지 않아 상황창 확대
  10:12 이상징후 발송
  10:13 절체 요청
  10:15 DB절체 진행
  10:28 DB02->DB01 절체 완료
  10:30 서비스 정상화 확인 및 이상징후 종료

O 조치 후 서비스 정상화 등 결과 포함
  - DB02 -> DB01서버로 절체 진행하여 서비스 정상화",Infra 운영,관제,관제
INM24010328717,종료,GMMSC,GMMSC(기술혁신부문) ~ SMSF(NW부문) 연동 구성간 SMSF 연결 실패 관련 다량 이벤트 발생,,,,이상징후,2003-01-24 14:36:00,2003-01-24 14:50:00,환경원인,외부귀책,"14:36 상황창 개설
14:50 SMSF측 L4장비 절체(서부HLR지능망운용부)
14:56 서비스 정상 확인",AP 운영,운용,환경
INM24010328718,종료,온/오프라인 VOC 통합관리 시스템,서버(tadb02)에서 Agent 행 체크 불가 이벤트 발생,,,,이상징후,2003-01-24 21:45:00,2003-01-24 21:56:00,Infra원인,Infra H/W결함,"O [파악된 현상] 인시던트 조치 내역 :
21:45 tadb02 Agent 행 체크  불가 이벤트 발생
21:47 컨퍼런스콜 개설 진행
21:49 이상징후 발생 공지
22:04 DB 접속 정상 확인
22:07 서비스 점검 정상 확인
22:14 테크센터 정상 확인
22:14 이상징후 해소 공지",Infra,서버,기타
INM24010428719,종료,GMMSC,서버(GMMSC03 외 다수) 에서 SMSF 연결 실패 _MSGMMSAO 이벤트 발생,,,,이상징후,2004-01-24 00:47:00,2004-01-24 00:47:00,환경원인,외부귀책,"00:48 상황창 개설(컨콜)
00:55 SMSF작업 확인(주간발생한 이상징후 건에 대한 SMSF L4절체 원복 작업)
01:10 서비스 특이사항 없음 및 알람 해소",AP 운영,운용,환경
INM24010428721,종료,KT AICC 공공지자체,서버(LP-PRD-WAS-API-03 등 3종)에서 Agent 행 체크 불가 이벤트 발생,,,,이상징후,2004-01-24 03:20:00,2004-01-24 03:36:00,환경원인,외부귀책,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수
>= kt cloud 측에서 복구",Infra,서버,Cloud C/S-Node
INM24010428725,종료,KOS-공통,B-MON관제에서 KAIT 부정가입방지시스템 실명인증 오류 발생,,,,이상징후,2004-01-24 16:49:00,2004-01-24 17:18:00,환경원인,외부귀책,외부귀책으로 인한 조치(행공센 조치),AP 운영,운용,환경
INM24010428727,종료,네트워크설비운영관제,분당(KOS-외부연동GW) - NH농협은행 VPN간 단중화 회선 다운 이벤트 발생,,,,이상징후,2004-01-24 17:27:00,2004-01-24 17:27:00,환경원인,외부귀책,"[01/04]
17:27 분당(KOS-외부연동GW) - NH농협은행 VPN간 단중화 회선 다운 이벤트 발생
17:28 IT통합관제 확인 요청
17:30 기관측 통화 확인 요청
17:32 이상징후 발생 공지 발송
17:35 서비스 담당자 서비스 확인요청
17:42 기관측 담당자 확인시 미사용으로 해지 신청 확인
17:48 이상징후 해소 공지 발송",Infra,네트워크,기타
INM24010428729,종료,Dev-Space,DevSpace 포탈 WAS 서버(p-space-tk1-a13) 인스턴스(dspace11)에서 부하(Full gc) 이벤트 발생,,,,이상징후,2004-01-24 18:35:00,2004-01-24 18:35:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수

두대의 was 중 한대 was에 gc가 쌓이는 현상 발생하여 재기동으로 해소",AP 운영,운용,환경
INM24010528732,종료,KTAICC,"KTAICC Easycms AP서버(epc-prd-escsvc05, 06) 디스크 임계치 알람 현상 지속 발생",개선불가,AO부서,,이상징후,2005-01-24 12:10:00,2005-01-24 12:10:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성 
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",AP 운영,점검,환경
INM24010528734,종료,신용평가정보Delivery플랫폼,"""고객정보 조회실패""  비즈니스 오류 발생",,,,이상징후,2005-01-24 13:41:00,2005-01-24 14:01:00,Infra원인,Infra S/W결함,"현상 : ""고객정보 조회실패""  비즈니스 오류 발생 이시던트 조치 내역:
        : (이상징 후 현상이 잘못 나왔으며  실제  항상 있는 비즈니스 오류)
- 발생시간 : 01/05 13:41
-영향도: 정식 서비스 이전 TelcoCB 사와 테스트 중인 인스턴스로 서비스 영향 없음
-CRDPWAS01 -> 02 순으로 기존 인스턴스 재기동 진행
- was 내 인스턴스에 crdp 어플리케이션과, test 가 같이 있어서 crdp 어플리케이션에 오류는 아닌걸로 확인
- 해소시간 : 01/05 14:01
[후속조치]
- 01/05 14:19 crdpwas11 기존인스턴스 test.war 삭제 후 기동완료
-  01/05 14:21 2번 인스턴스도 test.war 삭제후 기동완료
-  01/05 14:35 서비스 정상 확인",Infra,미들웨어,WAS
INM24010728735,종료,KOS-Billing,KOS-요금총산 WAS 서버 (billap02 billDom01Svr23) 인스턴스  지연 발생,개선불가,AO부서,,이상징후,2007-01-24 03:11:00,2007-01-24 03:11:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
  - 01/07 02:00 유지형 로딩 AP 성능 저하 인지 후 AP 재수행
  - 01/07 02:50 재수행 전/후 성능 차이가 없어 WAS 특이 사항 확인 요청
  - 01/07 03:00 시스템 특이사항 확인되지 않아 불필요 리소스 해소 차원으로 WAS 재기동을 위한 상황창 개설((상황 보고 및 승인 완료)
  - 01/07 03:11 BILLAP WAS 재기동 및 서비스 점검
  - 01/07 04:0 서비스 정상 작동 확인 및 상황 종료
  -
O 조치 후 서비스 정상화 등 결과 포함
 - BILLAP WAS 재기동 후 배치 정상 수행 확인",AP 운영,운용,환경
INM24010728736,종료,씨큐브,씨큐브 서버(pcmspsv01)에서 da11 Full gc 이벤트 발생,,,,이상징후,2007-01-24 09:50:00,2007-01-24 10:10:00,Infra원인,Infra S/W결함,"O  [01/07 09:50] 씨큐브 서버(pcmspsv01)에서 da11 Full gc 이벤트 발생 조치내역 :
- 09:50  [01/07 09:50] 씨큐브 서버(pcmspsv01)에서 da11 Full gc 이벤트 발생
- 09:59 이상징후 발생 공지 발송
- 10:00 트래픽 호정상으로 자연해소
- 10:05 장애예방 차원으로 MW 재기동 요청
- 10:10 MW 재기동 조치 완료
- 19:12 서비스 특이사항 없음(AO)
- 10:13 이상징후 해소 공지 발송",Infra,미들웨어,WAS
INM24010828737,종료,KT AICC CCaaS,KT AICC CCaaS DB서버(ccaas-pp-cib-sdb01) 부하 이벤트(LONG_RUN_SESSION) 발생,,,,이상징후,2008-01-24 09:33:00,2008-01-24 09:33:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
- 09:33 ccaas-pp-cib-sdb01에서 LONG_RUN_SESSION 관제 이벤트 발생(LOOKS)
- 09:34 이상징후 발생 공지
- 09:35 DB 점검 및 정상 동작 확인
- 09:35 서비스 점검 및 정상 확인
- 09:36 이상징후 해소 공지
O 조치 후 서비스 정상화 등 결과 포함
 - 콜인프라 DB 장비(ccaas-pp-cib-sdb01, ccaas-pp-cib-sdb02)의 bulk 처리량을 늘려 DB 세션을 줄일 수 있게 설정 적용 완료 (1월 10일)
  . 기존 limit 10 -> 2000 변경 완료
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",AP 운영,점검,환경
INM24010828738,종료,KT AICC CCaaS,KT AICC CCaaS DB서버(ccaas-pp-cib-sdb01) 부하 이벤트(LONG_RUN_SESSION) 발생,,,,이상징후,2008-01-24 09:56:00,2008-01-24 10:06:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
- 09:56 ccaas-pp-cib-sdb01에서 LONG_RUN_SESSION 관제 이벤트 발생(LOOKS)
- 09:57 이상징후 발생 공지
- 10:00 DB 점검 및 정상 동작 확인
- 10:05서비스 점검 및 정상 확인
- 10:08 이상징후 해소 공지
O 조치 후 서비스 정상화 등 결과 포함
 - 콜인프라 DB 장비(ccaas-pp-cib-sdb01, ccaas-pp-cib-sdb02)의 bulk 처리량을 늘려 DB 세션을 줄일 수 있게 설정 적용 완료 (1월 10일)
  . 기존 limit 10 -> 2000 변경 완료
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",AP 운영,점검,환경
INM24010828739,종료,KOS-오더,KOS-SC ~ NW부문 UMC 서버 연동 다운 이벤트 발생,,,,이상징후,2008-01-24 13:03:00,2008-01-24 13:17:00,환경원인,외부귀책,UMC측 서버 재기동,AP 운영,운용,환경
INM24010828740,종료,심툴킷인증플랫폼,서버(BD-L2-RAMAPP01)에서 UMC서버 순단(UMC Connection 불안정 [UMCI7]) 이벤트 발생,,,,이상징후,2008-01-24 14:13:00,2008-01-24 14:23:00,환경원인,외부귀책,"14:05  서버(BD-L2-RAMAPP01)에서 UMC서버 순단(UMC Connection 불안정 [UMCI7]) 이벤트 발생 (관제툴 : looks)
14:06  운영자 문의 시 UMC A,B 사이드와 연동 중으로 특이사항 없음 답변 (인증DX플랫폼팀)
14:17  이벤트 발생/해소 반복하여 상황창 개설
14:19  UMC (USIM Management Center) 와 RAMS(Remote Application Management System) 간의 연결 상태가 계속 순단 발생 중 확인 (인증DX플랫폼팀)
14:19  서비스 W/A는 USIM 인증에서  SMS 인증으로 자동 전환 가능하여 영향 없음 확인 (인증DX플랫폼팀)
14:19  상황창에 UMC 담당자 kt 강남HLR지능망운용부 초대 완료
14:20  UMC에서 RAM 연동 정상으로 보여 연동 프로세스 재기동 검토 중 (kt 강남HLR지능망운용부)
14:21  RAMS 연동 프로세스 재기동 조치 중 (kt 강남HLR지능망운용부)
14:23  이상징후 발생 공지 발송 (TML31827)
14:23  [서비스 영향도]
USIM 인증 -> SMS 인증 전환으로 W/A 가능하며 고객 입장에서 인지할 수 없음 (플랫폼IT컨설팅팀)
14:25  UMC측 RAMS 연동 프로세스 재기동 조치 후 정상 연동되어 이상징후 해소 결정 (인증DX플랫폼팀 , 플랫폼품질혁신TF)
14:31  이상징후 해소 공지 발송
14:34  [완료]이상징후 발생 시간 수정하여 정정공지 발송
발생시간 14:13 -> 14:05로 수정",AP 운영,운용,환경
INM24010828742,종료,AI고객센터,AI고객센터 챗봇/K-ACE AP서버(p-aicc-pk1-cnwas01) 채팅상담-인증토큰 조회 오류(Exception AuthInfoRetvByTokenId cnwas01_ap14) 이벤트 발생,,,,이상징후,2008-01-24 14:41:00,2008-01-24 14:44:00,Infra원인,Infra S/W결함,O [파악된 현상] 인시던트 조치 내역 : 등록된 authInfoRetvByTokenId 롤백,AP 개발,구현,외부 설계
INM24010828743,종료,KT샵,KT샵 제니퍼 관제에서 다수 인스턴스 지연 현상 발생,,,,이상징후,2008-01-24 16:22:00,2008-01-24 16:28:00,환경원인,자연해소,"O [파악된 현상] 인시던트 조치 내역 :
1.8 16:25 Ktalk 확인창 개설 및 초대
1.8 16:27 KT샵 이상징후 발송 공지(KT샵 제니퍼 다량 인스턴스(5시 핫딜 업무)  지연)
1.8 16:25~28 KT샵AP 서비스 점검 진행 및 정상 확인
1.8 16:28 제니퍼 인스턴스 지연 현상 자연 해소
1.8 16:28~32 KT샵 AP 서비스 점검 결과 정상 확인",AP 운영,점검,환경
INM24010828745,종료,BI/DW,BI/DW 서버(d-ndw-pk1-vdb018)에서 VTC vertica process 감시(vdb018) 이벤트 발생,,,,이상징후,2008-01-24 17:44:00,2008-01-24 17:44:00,환경원인,사용량 과부하,"- 2024.01.08(월)
    17:40 18번 노드 Crash Dump 발생
    17:42 18번 노드 DB 다운 발생
    17:45 18번 노드 DB 재기동 명령 수행(운영자)
    18:07 재기동 완료
    18:24 벤더사 원인 분석을 위한 로그 수집 진행 / 천안CDC 출입신청 등
    - kt ds 자체 원인 분석 및 원인 리포트 숨김 처리 진행하여 재발 방지

- 2024.01.09(화)
    09:30 벤더사 천안CDC 출입 및 로그 반출 수행
    16:04 벤더사 1차 원인 분석 자료 수신(원인 쿼리 도출 및 재수행 금지 권고)
    - kt ds 자체 원인 분석 결과와 동일한 쿼리로 확인 됨.

- 2024.01.12(금)
    벤더사 2차 상세 원인 분석 자료 수신",AP 운영,운용,환경
INM24010928749,종료,AI고객센터,AI고객센터 보이스봇 관리자(ONM)서버(aicc_voicebot_cmsonm22 Full gc) 이벤트 발생,,,,이상징후,2009-01-24 14:50:00,2009-01-24 14:57:00,환경원인,사용량 과부하,"O 조치 결과 : 운영부서(AO, AICC서비스2팀)에서 장애 예방 차원에서 인스턴스 재기동 조치 후, 정상화됨",AP 운영,운용,운용 오류
INM24010928750,종료,비발디,비발디 DB서버(p-vival-pk1-d02) CPU 부하 이벤트 발생,,,,이상징후,2009-01-24 16:17:00,2009-01-24 16:17:00,인적원인,연관도 파악 미흡,O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성 16:17 비발디 DB서버(p-vival-pk1-d02) CPU 부하 이벤트 발생 16:18 담당자 문의 16:21 서비스 단절 없으며 정상 처리중으로 서비스 특이사항 없음(오픈채널서비스팀) 16:21 서비스 정상 확인되어 IT통합관제팀 인력 전체 우선 초대 16:23 CPU부하 현상 관련 추가 조치 진행여부 확인요청(IT통합관제팀) 16:24 상황창 확대 16:25 DB 세션 Kill 진행(채널인프라팀) 16:27 비발디 서비스 시그널 관제상 특이사항 없음(IT통합관제팀) 16:27 설문조사 대량 업로드로 인한 영향(약 7만건)으로 인한 CPU부하로 확인(오픈채널서비스팀) 16:29 설문조사 업로드 관련 기능 후속 개선 진행예정(오픈채널서비스팀) 16:31 이상징후 발생/해소 공지 발송 후 후속 AP개선 진행 결정(BSS품질혁신TF) 16:33 ISC KOS-Web관련 VOC특이사항 없음(장애대응팀) 16:38 이상징후 발생/해소 공지 발송완료,AP 개발,테스트,AP 코딩
INM24010928751,종료,ITO 포털,데이터플러스 서버(pastcdr) 디스크 full(/home) 이벤트 발생,,,,이상징후,2009-01-24 17:18:00,2009-01-24 17:33:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
- 17:18  /home full 이벤트 발생
- 17:20 OS 점검 확인 이상무
- 17:33 /home/zabbix/ 기타 로그 정리하여 92% 확보
- 17:34 DB 엔진 로그 및 서비스 체크 이상 없음 확인
- 17:42  해소 공지 및 후속 조치 작업
O 조치 후 서비스 정상화 등 결과 포함
OS 점검결과 정상,AP점검결과 정상확인완료
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",Infra,서버 S/W,기타
INM24011028752,종료,네트워크설비운영관제,"목동, 분당 - KICC(한국정보통신) 연동 전용회선 다운 이벤트 발생",,,,이상징후,2010-01-24 00:54:00,2010-01-24 00:54:00,환경원인,외부귀책,"[01/10]
00:52 목동, 분당 - KICC(한국정보통신) 연동 전용회선 다운 이벤트 발생
00:55 IT통합관제 확인요청
00:58 기관측 확인요청
01:02 이상징후 발생 공지
01:07 서비스 담당자 서비스 확인요청
01:12 기관측 담당자 확인시 라우터 교체작업으로 확인
01:18 서비스 점검결과 서비스 영향 없음 확인
01:20 이상징후 해소공지",Infra,네트워크,기타
INM24011028753,종료,DT플랫폼,안드로이드 패드개통시 스마트 안심백업 녹취저장을 위한 웹호출 오류 발생,개선가능,AO부서,,이상징후,2010-01-24 08:56:00,2010-01-24 09:17:00,인적원인,연관도 파악 미흡,"[이상징후 대응 Time-Table]
08:58 조근점검 시 패드개통시스템 스마트안심백업 호출 오류 발생에 따른 상황창 개설
09:00 이상징후 공지 발송
09:08 PO부서 SKIP 적용 협의 완료
09:16 W/A SKIP 적용 완료
09:17 KOS 포탈 W/A 업무 공지 및 이상징후 해소 공지 발송

[후속 조치 Time-Table]
13:30 KT 클라우드 사전 공지 후 작업 원복(DEV 환경)
13:40 작업 원복 이후 오류 해소 확인(DEV 환경)
14:20 KT클라우드 원복 작업 서비스 공지
22:00 KT클라우드 원복 작업(PRD 환경)
23:00 원복 작업 이후 기능 정상화 확인(PRD 환경)",AP 운영,운용,환경
INM24011028756,종료,로봇 플랫폼,서버(prd-k8s-worker-1)에서 Agent 행 체크 불가 이벤트 발생,,,,이상징후,2010-01-24 14:57:00,2010-01-24 14:57:00,Infra원인,Infra H/W결함,"O [01/10 14:57] 로봇플랫폼 prd-k8s-worker-1 서버 Agent 행 체크 불가 이벤트 발생조치내역 :
- 14:57 prd-k8s-worker-1 서버 Agent hang 체크 불가 이벤트 발생
- 14:59 prd-k8s-worker-1 AO부서 서비스 점검
- 15:00 prd-k8s-worker-1 서버 접근 후 서버 재기동 확인
- 15:03 prd-k8s-worker-1 AO부서 서비스 이상없음 확인
- 15:04 이상징후 발생/해소 공지 발송
- 15:06 Looks event 해소 확인
- 16:05 sosreport 추출하여 오픈소스팀에 분석 요청",Infra,서버,기타
INM24011028758,종료,AI고객센터,AI고객센터 챗봇 CMS AP서버(p-aicc-pk1-ctcms02) CPU 부하 이벤트 발생,,,,이상징후,2010-01-24 15:39:00,2010-01-24 15:56:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : 운영부서(ktds DX인프라팀, AICC서비스2팀) MW 재기동 조치 후 정상화",AP 개발,구현,외부 설계
INM24011028759,종료,OSS-OM,OSS-OM-개통관리 파로스 인스턴스(cuiSvr15) 지연 현상 발생,,,,이상징후,2010-01-24 16:17:00,2010-01-24 16:17:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
01/10 16:15 pcuiap01 CPU 이상징후 발생
01/10 16:15 cuiSvr15 인스턴스 CPU 과점유 현상 확인
01/10 16:17 cuiSvr15 중지 완료 및 인프라 점검 정상 확인
01/10 16:17 이상징후 발생/해소 공지",Infra,미들웨어,WAS
